date,symbol,open,high,low,close,volume,adj_close
2024-08-22,AAPL,98.31,103.21,90.14,102.58,2187909,101.35
2024-08-23,AAPL,94.25,99.75,88.71,96.09,6265048,95.08
2024-08-24,AAPL,94.97,102.55,88.63,95.47,3680488,95.39
2024-08-25,AAPL,97.93,103.61,95.46,99.94,9290730,98.42
2024-08-26,AAPL,104.71,113.59,101.47,104.95,4042102,103.23
2024-08-27,AAPL,111.23,117.12,101.51,108.74,5092877,106.59
2024-08-28,AAPL,118.12,121.76,117.44,118.83,4199465,120.39
2024-08-29,AAPL,112.42,114.23,101.57,107.51,5780434,105.59
2024-08-30,AAPL,116.38,120.65,109.47,111.01,6938639,109.52
2024-08-31,AAPL,118.35,126.14,116.94,117.86,2896884,118.03
2024-09-01,AAPL,113.83,118.33,106.64,111.48,9016456,113.05
2024-09-02,AAPL,108.98,114.15,97.92,103.72,8366176,102.5
2024-09-03,AAPL,114.44,115.92,110.76,111.97,1581718,113.71
2024-09-04,AAPL,110.42,117.8,107.98,109.16,2460812,107.32
2024-09-05,AAPL,113.09,113.69,104.61,108.88,4081866,110.34
2024-09-06,AAPL,111.77,122.45,99.16,110.02,8705308,109.59
2024-09-07,AAPL,116.18,122.11,108.58,119.99,5601790,122.34
2024-09-08,AAPL,116.65,124.69,113.72,117.87,1132081,119.03
2024-09-09,AAPL,123.22,125.39,112.98,122.17,2803115,124.12
2024-09-10,AAPL,124.45,136.34,119.08,122.42,6503796,121.34
2024-09-11,AAPL,119.71,120.76,113.44,114.32,5421053,115.83
2024-09-12,AAPL,115.91,119.09,101.13,110.62,6358727,111.57
2024-09-13,AAPL,111.35,125.59,102.46,114.9,2664674,112.7
2024-09-14,AAPL,108.92,119.56,107.44,113.18,8179290,111.58
2024-09-15,AAPL,106.66,111.07,95.76,105.81,6452149,106.07
2024-09-16,AAPL,108.68,110.79,100.08,109.34,1396653,109.45
2024-09-17,AAPL,106.68,115.09,97.93,111.48,8389313,109.57
2024-09-18,AAPL,111.85,115.92,103.74,106.99,8149222,108.31
2024-09-19,AAPL,111.61,115.84,100.92,112.88,2027063,111.3
2024-09-20,AAPL,114.7,117.86,109.86,111.49,4594612,113.22
2024-09-21,AAPL,109.65,118.23,102.97,114.01,8400629,112.81
2024-09-22,AAPL,108.99,114.23,100.07,109.07,6224859,107.49
2024-09-23,AAPL,106.57,110.85,97.38,105.95,3128104,105.58
2024-09-24,AAPL,112.93,127.1,107.01,116.2,8927178,117.11
2024-09-25,AAPL,114.5,119.21,110.54,116.2,4465586,115.12
2024-09-26,AAPL,113.69,120.56,109.08,119.3,8119737,121.24
2024-09-27,AAPL,139.25,144.51,119.75,132.4,5518689,130.65
2024-09-28,AAPL,141.32,147.29,127.23,146.23,1798421,148.79
2024-09-29,AAPL,138.93,152.08,128.56,144.04,6683617,143.0
2024-09-30,AAPL,146.2,154.9,135.59,146.51,1803640,147.61
2024-10-01,AAPL,148.07,160.67,130.07,143.17,3139736,140.74
2024-10-02,AAPL,154.32,170.22,141.7,160.99,2154988,159.05
2024-10-03,AAPL,147.67,161.06,131.97,144.79,9701313,146.93
2024-10-04,AAPL,158.24,168.93,144.93,158.89,5714624,161.82
2024-10-05,AAPL,153.45,165.18,151.48,153.37,3246328,152.64
2024-10-06,AAPL,148.55,156.65,137.41,145.76,7317206,143.25
2024-10-07,AAPL,147.14,161.38,128.25,142.1,9147637,144.2
2024-10-08,AAPL,145.05,156.96,139.66,144.98,6460544,143.37
2024-10-09,AAPL,147.1,156.65,129.09,140.18,3476439,142.53
2024-10-10,AAPL,142.62,152.02,138.23,138.66,5907122,136.41
2024-10-11,AAPL,143.48,159.71,135.54,148.39,5991127,150.25
2024-10-12,AAPL,137.7,147.82,124.12,134.23,5203555,132.65
2024-10-13,AAPL,132.32,141.49,113.39,125.96,8834412,126.94
2024-10-14,AAPL,136.84,145.81,129.74,139.72,8360811,142.16
2024-10-15,AAPL,139.27,140.03,123.6,135.95,9237860,137.59
2024-10-16,AAPL,138.69,143.74,136.06,142.04,4911720,144.33
2024-10-17,AAPL,135.53,148.06,128.24,136.72,5733719,134.12
2024-10-18,AAPL,144.73,162.49,139.39,150.49,7334757,149.05
2024-10-19,AAPL,154.62,169.73,153.88,159.33,7687172,156.7
2024-10-20,AAPL,154.49,168.96,140.18,160.73,3116707,161.86
2024-10-21,AAPL,162.76,172.47,159.76,170.61,6098447,172.11
2024-10-22,AAPL,164.94,168.42,152.6,158.33,1868870,158.19
2024-10-23,AAPL,161.36,179.18,147.8,163.46,2070783,160.97
2024-10-24,AAPL,171.32,186.5,161.77,169.43,8878519,167.93
2024-10-25,AAPL,168.83,173.21,155.1,160.92,3013127,161.03
2024-10-26,AAPL,173.26,191.58,167.32,180.93,9816003,180.87
2024-10-27,AAPL,186.81,201.24,186.63,195.06,1430379,192.26
2024-10-28,AAPL,194.37,195.16,182.16,189.18,5454135,192.56
2024-10-29,AAPL,184.7,200.52,166.34,179.5,4406060,181.21
2024-10-30,AAPL,178.26,182.47,155.76,171.51,2633588,171.28
2024-10-31,AAPL,191.94,199.47,182.19,184.96,2922354,185.77
2024-11-01,AAPL,198.15,219.73,187.99,200.86,4979628,201.6
2024-11-02,AAPL,210.36,227.2,195.2,202.7,3972810,206.23
2024-11-03,AAPL,203.07,208.91,183.81,194.65,7839677,192.44
2024-11-04,AAPL,215.64,216.22,201.48,215.26,2024198,212.9
2024-11-05,AAPL,207.17,225.33,188.49,206.76,5704771,210.13
2024-11-06,AAPL,210.28,229.29,200.29,206.1,9454296,207.42
2024-11-07,AAPL,225.62,237.54,219.63,227.6,1411504,227.32
2024-11-08,AAPL,215.66,232.92,213.46,218.63,7765736,220.14
2024-11-09,AAPL,226.31,238.92,194.04,215.33,4403262,213.55
2024-11-10,AAPL,232.65,251.11,208.12,221.86,6653297,219.15
2024-11-11,AAPL,229.13,239.73,222.65,226.44,5665642,230.66
2024-11-12,AAPL,218.65,231.69,205.47,212.43,7161609,213.79
2024-11-13,AAPL,222.98,243.34,217.61,218.38,7422465,216.03
2024-11-14,AAPL,234.23,267.46,217.56,244.17,4831388,246.03
2024-11-15,AAPL,228.48,234.91,214.11,219.09,4270352,216.69
2024-11-16,AAPL,221.7,248.87,220.34,227.48,5194965,226.7
2024-11-17,AAPL,212.92,229.13,189.21,203.45,1489960,200.4
2024-11-18,AAPL,215.16,220.01,196.43,204.79,6677364,204.62
2024-11-19,AAPL,219.45,231.79,195.42,215.67,3576213,215.8
2024-11-20,AAPL,209.44,222.42,195.21,202.82,9487205,204.74
2024-11-21,AAPL,221.87,230.61,217.39,224.71,8715744,228.15
2024-11-22,AAPL,223.73,235.11,211.32,229.87,1973598,233.06
2024-11-23,AAPL,231.71,234.5,212.8,226.58,1301856,224.19
2024-11-24,AAPL,235.21,251.47,220.25,239.37,2444007,241.75
2024-11-25,AAPL,228.4,245.61,218.67,223.49,5342183,227.06
2024-11-26,AAPL,215.56,225.55,194.58,224.58,3970742,224.44
2024-11-27,AAPL,215.24,230.84,211.7,223.03,2283056,227.07
2024-11-28,AAPL,210.03,230.85,193.89,200.79,8073762,204.06
2024-11-29,AAPL,217.43,238.37,201.34,224.25,1591022,228.21
2024-11-30,AAPL,215.27,216.82,213.19,214.61,6578792,212.06
2024-12-01,AAPL,200.74,218.83,189.3,210.0,8845431,211.13
2024-12-02,AAPL,206.17,229.96,192.68,215.76,9504866,213.37
2024-12-03,AAPL,204.91,220.92,193.31,211.5,1821718,214.62
2024-12-04,AAPL,200.85,218.0,193.24,199.77,4894066,200.91
2024-12-05,AAPL,216.61,239.18,213.24,226.28,4007294,226.46
2024-12-06,AAPL,217.83,226.18,203.63,218.42,1074875,215.57
2024-12-07,AAPL,246.93,262.43,224.68,246.44,1124895,244.91
2024-12-08,AAPL,242.25,255.24,238.12,241.21,4897574,245.44
2024-12-09,AAPL,259.2,284.13,245.01,268.13,6838602,273.33
2024-12-10,AAPL,247.94,260.84,214.77,235.65,7938847,233.53
2024-12-11,AAPL,239.0,251.19,222.24,236.52,7843170,240.7
2024-12-12,AAPL,227.28,238.08,207.64,225.13,2924934,223.49
2024-12-13,AAPL,217.4,235.8,207.83,208.38,4764827,208.02
2024-12-14,AAPL,216.45,217.41,199.22,213.82,9873775,214.94
2024-12-15,AAPL,209.53,227.0,191.54,208.91,3418350,211.27
2024-12-16,AAPL,205.92,217.88,189.46,215.35,4168747,217.04
2024-12-17,AAPL,217.51,224.1,199.39,217.43,3162744,217.69
2024-12-18,AAPL,229.82,255.53,207.3,234.84,1775259,232.9
2024-12-19,AAPL,219.97,226.4,199.49,214.94,9920036,216.03
2024-12-20,AAPL,237.35,243.01,232.04,234.89,4712347,235.73
2024-12-21,AAPL,230.99,248.82,211.92,227.5,7509963,227.04
2024-12-22,AAPL,240.93,251.39,238.36,238.44,6441660,240.99
2024-12-23,AAPL,248.28,271.55,232.22,243.41,6743857,240.74
2024-12-24,AAPL,267.72,292.29,264.48,271.37,8032213,273.37
2024-12-25,AAPL,258.51,265.33,234.89,262.45,7326611,265.55
2024-12-26,AAPL,274.57,291.75,261.51,277.05,5062283,273.34
2024-12-27,AAPL,272.66,292.89,242.8,260.06,5985091,255.25
2024-12-28,AAPL,265.15,279.26,246.77,271.15,7193848,273.6
2024-12-29,AAPL,277.17,285.75,255.72,265.78,7850101,270.05
2024-12-30,AAPL,284.08,298.87,267.44,295.17,6632009,295.52
2024-12-31,AAPL,294.08,302.63,271.58,279.59,4434849,278.63
2025-01-01,AAPL,291.07,299.88,290.35,299.47,1036867,297.77
2025-01-02,AAPL,299.34,313.41,292.64,296.18,4182073,298.2
2025-01-03,AAPL,310.67,313.74,295.61,311.39,1333520,311.16
2025-01-04,AAPL,326.82,342.21,300.36,336.35,7480780,330.62
2025-01-05,AAPL,325.28,331.9,314.02,326.09,7499093,327.78
2025-01-06,AAPL,338.7,353.86,325.22,331.45,6816067,335.66
2025-01-07,AAPL,328.49,342.68,302.52,323.88,1835317,324.63
2025-01-08,AAPL,318.43,324.52,292.44,316.15,2283553,311.84
2025-01-09,AAPL,327.47,334.92,300.37,324.31,4945445,320.22
2025-01-10,AAPL,337.89,354.92,327.67,327.7,1918469,327.93
2025-01-11,AAPL,324.17,358.35,319.11,329.25,9105502,335.73
2025-01-12,AAPL,334.95,355.54,310.44,322.0,5172381,317.16
2025-01-13,AAPL,341.83,369.75,314.75,331.77,7657455,325.17
2025-01-14,AAPL,348.95,365.17,324.6,354.39,7866996,351.65
2025-01-15,AAPL,351.17,382.76,347.4,355.12,8922639,358.38
2025-01-16,AAPL,359.93,382.39,332.09,370.09,6822805,369.57
2025-01-17,AAPL,348.9,371.44,325.1,355.64,9343990,350.51
2025-01-18,AAPL,367.67,377.46,356.06,356.67,3763580,357.21
2025-01-19,AAPL,353.24,374.03,315.37,344.05,3100353,345.31
2025-01-20,AAPL,363.38,377.62,320.77,348.85,6802065,342.14
2025-01-21,AAPL,360.95,365.92,328.98,356.52,7993214,360.34
2025-01-22,AAPL,368.53,377.07,363.84,372.63,1105374,366.57
2025-01-23,AAPL,396.64,434.47,370.32,392.38,6213081,390.23
2025-01-24,AAPL,421.4,442.42,410.42,431.3,9526652,438.93
2025-01-25,AAPL,442.22,451.48,396.1,422.61,7394142,421.16
2025-01-26,AAPL,458.65,480.17,442.21,478.81,2095642,472.12
2025-01-27,AAPL,446.35,468.82,404.57,463.95,8217436,462.93
2025-01-28,AAPL,437.58,502.15,409.26,458.36,9075485,467.17
2025-01-29,AAPL,430.53,461.27,380.26,420.9,9542685,423.02
2025-01-30,AAPL,450.21,511.41,446.33,469.43,2591128,471.12
2025-01-31,AAPL,475.66,485.05,443.27,482.44,4231491,479.74
2025-02-01,AAPL,489.99,550.66,474.22,501.31,8690537,509.51
2025-02-02,AAPL,509.05,540.11,465.97,500.3,5380777,494.28
2025-02-03,AAPL,504.08,530.21,465.27,513.47,8615694,505.27
2025-02-04,AAPL,535.94,589.27,502.66,535.78,2742329,536.59
2025-02-05,AAPL,518.62,546.32,468.42,518.81,4612482,515.49
2025-02-06,AAPL,528.53,572.53,460.36,504.99,8522357,501.14
2025-02-07,AAPL,511.28,537.0,485.5,500.92,9709633,494.25
2025-02-08,AAPL,545.57,569.72,497.25,563.61,4480952,574.13
2025-02-09,AAPL,525.77,539.08,505.88,509.48,7171989,519.0
2025-02-10,AAPL,543.88,551.97,496.56,535.73,1147397,538.04
2025-02-11,AAPL,568.26,578.28,535.46,567.25,4575560,567.99
2025-02-12,AAPL,612.76,620.33,580.93,610.91,9289922,619.35
2025-02-13,AAPL,590.68,628.37,554.53,611.32,7676124,622.43
2025-02-14,AAPL,628.94,670.79,592.51,626.49,2959310,638.72
2025-02-15,AAPL,607.14,641.84,572.11,595.58,9061637,605.13
2025-02-16,AAPL,607.19,662.86,546.65,585.68,1708879,575.02
2025-02-17,AAPL,580.0,625.75,523.38,552.53,3850516,542.19
2025-02-18,AAPL,602.59,622.26,548.24,602.08,7449823,614.05
2025-02-19,AAPL,618.28,680.2,572.94,624.51,6684544,632.84
2025-02-20,AAPL,614.71,651.27,596.28,613.61,9881552,617.8
2025-02-21,AAPL,631.36,638.42,618.54,625.19,6405874,624.5
2025-02-22,AAPL,634.82,690.05,590.75,629.8,3412079,624.03
2025-02-23,AAPL,623.03,637.78,607.29,633.47,9527005,633.2
2025-02-24,AAPL,659.19,667.83,578.09,639.4,9216281,638.07
2025-02-25,AAPL,566.56,620.63,545.77,565.22,7455357,572.95
2025-02-26,AAPL,594.15,627.55,559.42,606.56,7251667,615.79
2025-02-27,AAPL,639.88,656.48,615.53,620.34,9256486,613.4
2025-02-28,AAPL,676.6,743.31,659.07,699.34,5235717,691.52
2025-03-01,AAPL,719.17,753.22,694.13,716.75,5108377,705.13
2025-03-02,AAPL,767.84,781.18,751.19,762.92,3040254,771.53
2025-03-03,AAPL,745.86,799.73,677.99,741.47,5766335,729.68
2025-03-04,AAPL,752.75,781.88,671.98,722.07,4917031,725.6
2025-03-05,AAPL,765.34,830.36,724.01,780.81,9820369,787.78
2025-03-06,AAPL,882.37,955.53,814.56,911.22,3246768,928.03
2025-03-07,AAPL,901.67,943.56,837.13,927.13,7018936,925.7
2025-03-08,AAPL,936.15,1007.69,852.06,967.13,5868394,978.44
2025-03-09,AAPL,927.61,1000.73,916.7,941.61,1692032,954.84
2025-03-10,AAPL,964.07,1048.37,869.13,975.66,5782721,970.89
2025-03-11,AAPL,940.82,1027.18,904.62,925.98,4276824,939.61
2025-03-12,AAPL,976.4,1026.38,880.89,1007.65,7584681,1017.01
2025-03-13,AAPL,1008.49,1084.03,927.11,1026.98,6303341,1043.53
2025-03-14,AAPL,1075.09,1140.61,982.43,1107.28,9346299,1096.29
2025-03-15,AAPL,1153.95,1196.36,1082.88,1188.57,5603096,1168.12
2025-03-16,AAPL,1136.31,1201.96,1096.79,1174.49,6841013,1152.38
2025-03-17,AAPL,1104.93,1118.94,1056.55,1105.46,6540812,1107.89
2025-03-18,AAPL,1071.07,1184.78,979.9,1078.39,3733962,1070.56
2025-03-19,AAPL,1148.93,1271.64,1087.42,1204.64,5867591,1188.42
2025-03-20,AAPL,1197.25,1309.38,1126.3,1205.23,2567707,1200.07
2025-03-21,AAPL,1279.55,1395.04,1272.35,1276.93,5715335,1275.03
2025-03-22,AAPL,1310.07,1400.51,1168.59,1259.39,6273459,1240.83
2025-03-23,AAPL,1531.51,1607.82,1478.49,1514.08,4808599,1506.52
2025-03-24,AAPL,1598.53,1659.59,1524.12,1653.32,5279776,1662.84
2025-03-25,AAPL,1570.32,1691.01,1375.13,1518.49,2400965,1510.99
2025-03-26,AAPL,1539.96,1552.79,1447.94,1549.2,3557698,1537.25
2025-03-27,AAPL,1476.82,1666.88,1439.19,1538.52,2546652,1508.45
2025-03-28,AAPL,1535.08,1668.02,1508.96,1600.95,5943981,1591.97
2025-03-29,AAPL,1567.31,1650.27,1478.16,1538.15,7160488,1530.55
2025-03-30,AAPL,1638.67,1690.32,1591.97,1656.14,8793677,1643.84
2025-03-31,AAPL,1557.6,1748.51,1409.94,1591.8,9914681,1602.67
2025-04-01,AAPL,1586.53,1746.84,1535.82,1639.16,8985447,1643.59
2025-04-02,AAPL,1522.44,1643.98,1449.85,1554.31,5675399,1538.76
2025-04-03,AAPL,1600.65,1604.48,1427.05,1545.73,6887903,1533.47
2025-04-04,AAPL,1634.92,1767.18,1478.34,1596.96,6552288,1579.72
2025-04-05,AAPL,1593.32,1774.44,1550.45,1654.38,7558390,1630.58
2025-04-06,AAPL,1646.7,1814.8,1553.34,1683.83,9131902,1650.93
2025-04-07,AAPL,1605.21,1727.62,1466.66,1660.73,1222281,1669.53
2025-04-08,AAPL,1604.51,1695.07,1427.02,1565.65,4587927,1567.77
2025-04-09,AAPL,1729.27,1771.62,1579.72,1680.76,6812045,1655.66
2025-04-10,AAPL,1701.87,1785.17,1608.18,1624.21,4838954,1629.8
2025-04-11,AAPL,1626.14,1670.67,1575.99,1631.83,2367821,1639.83
2025-04-12,AAPL,1612.94,1654.43,1412.49,1552.48,1844908,1561.46
2025-04-13,AAPL,1605.36,1660.05,1544.17,1634.09,4191018,1641.69
2025-04-14,AAPL,1531.99,1600.24,1431.4,1533.6,3560050,1545.04
2025-04-15,AAPL,1578.35,1708.68,1492.71,1596.38,6727493,1584.17
2025-04-16,AAPL,1515.28,1565.22,1310.44,1451.13,2093162,1453.36
2025-04-17,AAPL,1509.38,1650.95,1406.94,1498.62,6342975,1481.78
2025-04-18,AAPL,1562.28,1698.65,1464.94,1505.53,5418261,1507.6
2025-04-19,AAPL,1508.93,1627.03,1365.61,1461.39,1736825,1477.24
2025-04-20,AAPL,1565.74,1678.43,1419.9,1550.19,3524482,1575.74
2025-04-21,AAPL,1669.96,1778.65,1482.24,1597.54,3164336,1593.54
2025-04-22,AAPL,1698.42,1905.4,1581.12,1782.02,3555542,1785.35
2025-04-23,AAPL,1818.99,1931.52,1687.47,1861.92,1263875,1865.29
2025-04-24,AAPL,1773.21,1912.06,1705.22,1843.33,8041383,1834.92
2025-04-25,AAPL,1912.81,2035.88,1691.48,1828.01,9840748,1816.69
2025-04-26,AAPL,2047.27,2089.5,1903.22,2051.74,5423359,2019.24
2025-04-27,AAPL,2137.17,2305.99,2025.88,2097.85,6177260,2115.71
2025-04-28,AAPL,2041.55,2167.95,1929.01,1971.25,2582136,1953.06
2025-04-29,AAPL,2133.67,2308.17,1964.88,2170.57,2906737,2159.65
2025-04-30,AAPL,2105.72,2152.8,2049.08,2121.47,7758288,2113.24
2025-05-01,AAPL,2272.73,2536.2,2153.12,2379.01,6358542,2347.93
2025-05-02,AAPL,2374.04,2580.94,2195.74,2370.6,2758033,2407.84
2025-05-03,AAPL,2418.9,2584.09,2105.41,2312.67,8141133,2351.07
2025-05-04,AAPL,2409.09,2579.44,2162.62,2344.62,5502324,2384.21
2025-05-05,AAPL,2469.14,2822.51,2332.34,2584.06,6245886,2635.22
2025-05-06,AAPL,2586.8,2706.48,2356.49,2514.2,3021833,2540.31
2025-05-07,AAPL,2570.44,2608.87,2445.59,2534.17,7401451,2524.05
2025-05-08,AAPL,2760.59,3057.44,2509.29,2884.31,4492137,2928.83
2025-05-09,AAPL,2924.91,3149.95,2776.54,2886.39,8855956,2873.05
2025-05-10,AAPL,2925.52,2963.16,2741.08,2928.09,9916765,2876.17
2025-05-11,AAPL,2781.83,2980.22,2587.28,2890.93,3415372,2918.42
2025-05-12,AAPL,2875.3,3052.38,2738.64,2933.49,5830473,2886.47
2025-05-13,AAPL,2942.95,3066.85,2760.44,2954.96,3867708,2907.38
2025-05-14,AAPL,2958.01,3196.73,2669.57,2839.72,1007376,2870.88
2025-05-15,AAPL,3027.98,3208.68,2818.79,2926.95,3179748,2971.45
2025-05-16,AAPL,3110.24,3156.07,2809.94,3049.82,4853256,2999.33
2025-05-17,AAPL,3074.3,3459.25,3013.6,3184.49,9240730,3195.2
2025-05-18,AAPL,3029.09,3074.31,2739.57,3004.52,8494878,3000.66
2025-05-19,AAPL,3010.05,3024.97,2874.33,2922.09,3807967,2972.27
2025-05-20,AAPL,3142.27,3265.43,2876.16,3029.2,5767742,3034.51
2025-05-21,AAPL,3154.2,3397.86,2942.12,3054.86,6706374,3102.35
2025-05-22,AAPL,3060.62,3268.99,3014.78,3079.22,3392951,3122.05
2025-05-23,AAPL,3249.56,3560.28,3087.15,3253.95,7193859,3195.42
2025-05-24,AAPL,3485.76,3770.93,3231.37,3574.18,2905539,3619.79
2025-05-25,AAPL,3615.43,3644.46,3450.46,3638.21,5834704,3689.78
2025-05-26,AAPL,3545.32,3884.17,3401.01,3533.06,6616100,3537.26
2025-05-27,AAPL,3551.68,3799.7,3268.62,3464.5,7813847,3522.8
2025-05-28,AAPL,3713.26,3861.54,3580.68,3681.82,3742473,3651.95
2025-05-29,AAPL,3637.83,3646.83,3397.14,3561.37,4978785,3600.07
2025-05-30,AAPL,3689.33,3738.11,3470.07,3600.79,3790345,3612.65
2025-05-31,AAPL,3688.81,3987.23,3566.14,3743.33,2538459,3715.08
2025-06-01,AAPL,3773.54,3861.89,3539.19,3860.52,1939560,3789.5
2025-06-02,AAPL,4061.15,4457.39,3717.85,3925.88,5595257,3994.56
2025-06-03,AAPL,3933.07,4150.24,3866.69,4102.27,9483655,4060.58
2025-06-04,AAPL,3936.9,4178.95,3665.41,3910.35,6888773,3884.47
2025-06-05,AAPL,4046.06,4065.98,3827.72,3870.27,7701104,3939.63
2025-06-06,AAPL,4010.49,4150.45,3732.36,4107.07,7194974,4143.61
2025-06-07,AAPL,3929.4,4110.07,3556.61,3936.31,3785637,3903.03
2025-06-08,AAPL,4196.8,4414.58,4067.08,4272.31,8540863,4305.88
2025-06-09,AAPL,4499.38,4789.41,4015.53,4360.66,9586147,4314.57
2025-06-10,AAPL,4285.09,4612.07,4074.87,4355.41,3040024,4298.81
2025-06-11,AAPL,4359.76,4572.03,4267.28,4512.3,2231926,4590.54
2025-06-12,AAPL,4433.7,4435.12,4152.91,4409.59,6429927,4362.1
2025-06-13,AAPL,4304.5,4595.67,4303.21,4506.54,4735749,4544.84
2025-06-14,AAPL,4357.21,4589.78,4083.02,4573.8,7327186,4634.72
2025-06-15,AAPL,4172.94,4441.07,4168.99,4368.67,6549523,4393.69
2025-06-16,AAPL,4430.06,4601.38,4176.08,4423.44,9458831,4449.23
2025-06-17,AAPL,4323.02,4439.74,4160.07,4360.59,1604964,4441.44
2025-06-18,AAPL,4133.96,4454.0,3850.1,4121.12,8166437,4199.48
2025-06-19,AAPL,4334.23,4658.92,3988.98,4245.02,9829978,4188.56
2025-06-20,AAPL,4299.66,4526.77,4142.24,4324.84,4593048,4325.25
2025-06-21,AAPL,4458.54,4780.92,4114.28,4368.61,6552642,4428.31
2025-06-22,AAPL,4474.52,4960.79,4061.17,4653.38,9302421,4740.0
2025-06-23,AAPL,4375.0,4779.12,4200.71,4506.76,5700022,4495.66
2025-06-24,AAPL,4245.06,4638.02,4221.32,4388.25,5229767,4461.6
2025-06-25,AAPL,4227.6,4519.49,3872.02,4299.34,9768251,4277.71
2025-06-26,AAPL,4448.09,4681.33,4034.66,4376.26,2651386,4343.75
2025-06-27,AAPL,4599.18,4853.5,4210.8,4485.23,9990563,4451.45
2025-06-28,AAPL,4790.33,4987.71,4473.3,4900.35,6767731,4969.05
2025-06-29,AAPL,4680.61,5216.24,4652.61,4851.42,4242250,4880.54
2025-06-30,AAPL,4555.97,4814.7,4323.31,4673.78,3746642,4732.68
2025-07-01,AAPL,4482.2,4645.75,4276.83,4346.39,4189391,4400.68
2025-07-02,AAPL,4363.16,4416.64,3942.84,4212.4,4624833,4187.8
2025-07-03,AAPL,5157.86,5613.45,4743.26,5239.73,3804777,5222.73
2025-07-04,AAPL,5096.95,5267.34,4885.82,5071.7,5285084,4984.46
2025-07-05,AAPL,5270.91,5485.73,4748.98,5409.78,7680980,5389.74
2025-07-06,AAPL,5128.5,5323.34,4941.47,5197.79,4339669,5203.25
2025-07-07,AAPL,5137.87,5556.1,4949.6,4958.59,6320296,5057.52
2025-07-08,AAPL,5007.77,5220.86,4447.42,4923.06,8784775,4914.3
2025-07-09,AAPL,5059.21,5262.31,4829.31,4875.01,9630436,4949.18
2025-07-10,AAPL,4827.28,5321.93,4669.03,4957.04,5498797,4950.09
2025-07-11,AAPL,5189.18,5397.32,5124.23,5255.03,2069172,5261.15
2025-07-12,AAPL,5255.46,5643.61,5050.03,5286.43,5455220,5266.01
2025-07-13,AAPL,5197.91,5483.52,4944.95,5373.02,8689624,5432.29
2025-07-14,AAPL,5439.89,6014.36,5271.2,5530.57,5090246,5495.84
2025-07-15,AAPL,5205.73,5591.31,4800.28,5340.11,3115240,5399.67
2025-07-16,AAPL,5587.15,5850.78,5034.99,5792.53,5969017,5897.8
2025-07-17,AAPL,5478.5,5781.42,4889.27,5308.16,4190723,5238.13
2025-07-18,AAPL,5706.61,6342.53,5283.78,5869.93,7929482,5806.67
2025-07-19,AAPL,5791.37,6053.56,5191.36,5581.68,4081956,5555.25
2025-07-20,AAPL,6166.39,6365.38,5814.32,6323.22,1889285,6261.02
2025-07-21,AAPL,6627.94,6768.67,6496.26,6765.55,5791405,6872.6
2025-07-22,AAPL,7006.32,7446.77,6381.78,7217.18,6336603,7203.58
2025-07-23,AAPL,6855.91,7015.24,6495.03,6786.28,2770765,6852.02
2024-07-23,GOOGL,173.35,195.64,168.99,181.79,9427460,184.82
2024-07-24,GOOGL,169.91,187.29,157.62,172.4,5524474,171.13
2024-07-25,GOOGL,181.75,191.25,176.52,180.33,9537960,176.78
