date,customer_id,customer_age,customer_gender,category,product,region,channel,quantity,unit_price,discount,total_price,profit_margin
2023-07-26,CUST88845,60,Other,Sports,Running Shoes,Africa,Marketplace,5,948.79,17.0,3935.54,0.32
2023-07-26,CUST50006,28,Female,Automotive,Maintenance Kits,Australia,Marketplace,3,930.45,15.5,2359.43,0.32
2023-07-26,CUST55162,39,Female,Toys,Educational Toys,Australia,Online,2,743.04,8.4,1361.78,0.31
2023-07-26,CUST82978,53,Other,Electronics,Samsung TV,Europe,Mobile App,5,267.98,21.7,1049.48,0.33
2023-07-27,CUST92594,23,Female,Clothing,H&M Shirt,Asia,Mobile App,3,323.98,14.7,829.32,0.12
2023-07-27,CUST23488,30,Other,Electronics,Samsung TV,North America,Mobile App,5,833.15,25.9,3085.98,0.16
2023-07-27,CUST50120,72,Female,Toys,LEGO Set,Africa,Mobile App,5,251.79,7.9,1159.72,0.25
2023-07-27,CUST66709,41,Female,Clothing,H&M Shirt,South America,Retail,5,359.05,20.3,1431.06,0.12
2023-07-27,CUST52782,51,Male,Beauty,Skincare Set,North America,Mobile App,2,72.15,6.8,134.44,0.39
2023-07-28,CUST36377,49,Female,Clothing,Uniqlo Sweater,Europe,Online,1,875.36,1.9,858.69,0.19
2023-07-28,CUST85522,65,Female,Beauty,Perfume,Asia,Retail,1,941.97,16.6,785.92,0.16
2023-07-28,CUST53409,18,Female,Toys,Puzzles,North America,Social Media,4,184.96,12.3,648.83,0.39
2023-07-28,CUST58027,63,Male,Books,Machine Learning,Europe,Mobile App,4,797.92,25.5,2377.02,0.22
2023-07-28,CUST50231,45,Female,Sports,Gym Equipment,Asia,Online,1,368.28,8.2,337.99,0.13
2023-07-28,CUST36174,60,Male,Books,Data Science Guide,Europe,Online,2,270.45,5.9,509.18,0.14
2023-07-29,CUST52048,47,Female,Home & Garden,Coffee Maker,Europe,Marketplace,3,668.65,1.0,1985.52,0.21
2023-07-29,CUST54615,73,Male,Beauty,Makeup Kit,Africa,Retail,4,962.24,2.3,3761.71,0.15
2023-07-29,CUST91482,25,Male,Home & Garden,Coffee Maker,Asia,Mobile App,2,249.88,5.2,473.73,0.31
2023-07-29,CUST81391,45,Other,Sports,Running Shoes,North America,Social Media,3,896.58,10.4,2410.85,0.16
2023-07-29,CUST21958,70,Other,Sports,Gym Equipment,South America,Retail,2,619.47,17.3,1024.28,0.16
2023-07-29,CUST41370,68,Female,Clothing,Uniqlo Sweater,Europe,Social Media,3,455.8,16.8,1137.88,0.27
2023-07-29,CUST25183,68,Female,Books,Data Science Guide,Africa,Marketplace,1,456.04,6.7,425.64,0.2
2023-07-29,CUST58350,69,Female,Toys,LEGO Set,Australia,Marketplace,5,818.96,0.2,4085.29,0.18
2023-07-30,CUST23684,55,Other,Beauty,Makeup Kit,South America,Social Media,3,834.92,29.3,1770.44,0.12
2023-07-30,CUST12395,44,Male,Automotive,Maintenance Kits,Africa,Retail,4,472.89,22.3,1470.36,0.11
2023-07-30,CUST37473,62,Female,Clothing,Zara Dress,North America,Online,2,630.33,16.2,1056.62,0.27
2023-07-30,CUST91149,18,Other,Automotive,Tools,Africa,Social Media,2,356.7,5.0,677.57,0.11
2023-07-30,CUST64859,20,Other,Clothing,Adidas Jacket,Australia,Online,5,749.84,9.1,3407.95,0.13
2023-07-31,CUST21327,24,Female,Home & Garden,Lighting,Asia,Retail,1,866.44,5.1,822.16,0.13
2023-07-31,CUST41228,51,Female,Automotive,Accessories,Europe,Marketplace,5,324.17,17.2,1341.67,0.4
2023-07-31,CUST34290,29,Female,Automotive,Accessories,Africa,Online,1,825.12,15.6,696.01,0.19
2023-07-31,CUST75101,44,Male,Books,Data Science Guide,Europe,Online,5,501.69,15.6,2116.46,0.22
2023-07-31,CUST88475,38,Female,Toys,Board Games,Australia,Online,1,573.4,17.5,473.3,0.11
2023-07-31,CUST30511,55,Female,Toys,Educational Toys,Africa,Online,1,150.39,9.8,135.71,0.31
2023-08-01,CUST60624,34,Other,Automotive,Tools,Europe,Online,3,723.31,8.7,1981.8,0.28
2023-08-01,CUST74624,64,Female,Electronics,Apple Watch,North America,Marketplace,3,957.97,14.7,2450.44,0.15
2023-08-01,CUST84109,25,Female,Books,Data Science Guide,South America,Online,1,234.84,29.6,165.38,0.29
2023-08-01,CUST80768,28,Female,Clothing,Uniqlo Sweater,North America,Mobile App,5,600.18,7.9,2764.19,0.15
2023-08-01,CUST96056,31,Male,Automotive,Maintenance Kits,Europe,Retail,2,244.09,2.5,476.1,0.13
2023-08-01,CUST99585,57,Male,Beauty,Perfume,Europe,Social Media,1,599.55,2.7,583.07,0.27
2023-08-01,CUST41075,63,Other,Books,AI Basics,Africa,Marketplace,5,591.34,12.5,2586.02,0.15
2023-08-01,CUST71196,66,Female,Electronics,AirPods,South America,Online,3,863.47,15.3,2193.66,0.22
2023-08-01,CUST86092,52,Other,Toys,Educational Toys,Asia,Mobile App,2,478.98,15.1,813.6,0.21
2023-08-01,CUST19054,25,Female,Beauty,Hair Products,South America,Retail,3,895.32,22.9,2070.36,0.4
2023-08-01,CUST71548,48,Female,Automotive,Car Parts,North America,Retail,2,546.14,23.5,835.98,0.13
2023-08-01,CUST86797,59,Other,Books,Python Programming,Australia,Mobile App,2,514.29,28.2,738.7,0.2
2023-08-01,CUST63362,33,Male,Clothing,H&M Shirt,Australia,Retail,3,198.17,2.0,582.37,0.26
2023-08-01,CUST77621,61,Male,Home & Garden,Coffee Maker,North America,Retail,3,329.82,0.6,983.58,0.3
2023-08-01,CUST79285,36,Other,Home & Garden,Garden Tools,Australia,Mobile App,2,684.71,19.7,1098.97,0.21
2023-08-02,CUST53234,36,Female,Sports,Tennis Racket,North America,Mobile App,2,653.66,12.6,1143.04,0.13
2023-08-02,CUST21289,31,Female,Sports,Gym Equipment,South America,Social Media,4,98.11,22.9,302.55,0.29
2023-08-02,CUST39575,20,Female,Toys,LEGO Set,South America,Mobile App,1,393.55,17.3,325.5,0.15
2023-08-02,CUST54296,73,Female,Beauty,Perfume,North America,Retail,4,583.3,11.0,2077.01,0.37
2023-08-02,CUST31546,66,Female,Beauty,Skincare Set,Asia,Marketplace,5,902.25,25.8,3348.4,0.1
2023-08-02,CUST66310,32,Other,Toys,Action Figures,Africa,Online,5,50.18,20.3,199.93,0.11
2023-08-02,CUST99063,34,Male,Clothing,Adidas Jacket,Australia,Mobile App,3,932.49,6.4,2619.51,0.13
2023-08-02,CUST60535,40,Male,Toys,Board Games,South America,Retail,4,198.29,3.9,761.82,0.23
2023-08-02,CUST91164,71,Other,Home & Garden,Garden Tools,Australia,Online,5,484.19,21.0,1913.49,0.33
2023-08-02,CUST38236,64,Male,Books,Data Science Guide,Africa,Social Media,3,877.65,6.8,2455.08,0.33
2023-08-02,CUST25888,19,Other,Automotive,Cleaning Products,Africa,Social Media,1,222.99,2.5,217.4,0.36
2023-08-02,CUST19348,22,Male,Sports,Running Shoes,Australia,Marketplace,2,798.72,27.5,1158.76,0.37
2023-08-02,CUST34391,18,Other,Sports,Tennis Racket,Asia,Mobile App,3,863.13,27.3,1881.28,0.28
2023-08-03,CUST11090,31,Male,Automotive,Car Parts,South America,Social Media,1,884.72,16.3,740.71,0.15
2023-08-03,CUST85273,36,Male,Electronics,Sony Headphones,South America,Social Media,3,911.8,14.8,2331.48,0.11
2023-08-03,CUST57553,23,Other,Clothing,Nike Shoes,North America,Mobile App,2,465.95,19.1,753.61,0.33
2023-08-03,CUST90070,69,Female,Home & Garden,Furniture,North America,Retail,2,891.87,23.6,1362.69,0.15
2023-08-03,CUST41679,55,Other,Electronics,iPhone 15,South America,Marketplace,3,874.28,29.7,1843.85,0.2
2023-08-03,CUST24470,42,Female,Electronics,AirPods,Africa,Retail,5,350.98,5.2,1662.94,0.22
2023-08-03,CUST95243,21,Female,Sports,Gym Equipment,South America,Mobile App,5,142.08,28.6,507.06,0.36
2023-08-03,CUST35543,71,Male,Beauty,Hair Products,Asia,Social Media,1,737.52,11.9,649.63,0.26
2023-08-03,CUST57550,40,Male,Clothing,Nike Shoes,North America,Marketplace,2,636.17,27.7,919.8,0.19
2023-08-04,CUST74989,41,Male,Sports,Yoga Mat,Africa,Mobile App,5,322.97,21.3,1270.8,0.28
2023-08-04,CUST67739,62,Male,Sports,Running Shoes,Europe,Mobile App,4,575.97,14.0,1980.5,0.25
2023-08-04,CUST18227,21,Male,Beauty,Hair Products,North America,Online,3,277.86,20.4,663.51,0.23
2023-08-04,CUST75250,45,Other,Sports,Tennis Racket,Europe,Online,4,798.89,15.6,2696.72,0.36
2023-08-04,CUST72856,34,Male,Sports,Gym Equipment,North America,Online,2,500.66,22.3,777.99,0.33
2023-08-04,CUST93200,28,Female,Home & Garden,Lighting,Australia,Social Media,5,90.58,13.9,390.13,0.14
2023-08-04,CUST77772,27,Female,Sports,Tennis Racket,Europe,Mobile App,5,839.56,23.0,3230.35,0.11
2023-08-04,CUST46425,55,Other,Automotive,Tools,Africa,Mobile App,2,301.37,24.8,453.44,0.23
2023-08-04,CUST32102,63,Male,Electronics,Samsung TV,South America,Social Media,3,952.97,25.6,2127.44,0.32
2023-08-04,CUST83068,22,Male,Beauty,Makeup Kit,Europe,Social Media,5,736.15,19.0,2981.13,0.22
2023-08-04,CUST81182,23,Male,Clothing,Levi's Jeans,Asia,Mobile App,2,595.18,22.5,922.23,0.26
2023-08-04,CUST91610,23,Other,Toys,Board Games,North America,Mobile App,5,17.05,7.6,78.72,0.35
2023-08-04,CUST52082,39,Other,Clothing,Adidas Jacket,Europe,Retail,1,135.38,26.9,99.0,0.37
2023-08-05,CUST37295,73,Male,Clothing,Levi's Jeans,Australia,Marketplace,2,744.59,10.8,1327.88,0.33
2023-08-05,CUST18014,21,Other,Sports,Gym Equipment,North America,Retail,3,762.09,7.0,2126.15,0.1
2023-08-05,CUST88432,47,Male,Beauty,Nail Polish,North America,Retail,3,561.97,23.1,1297.06,0.2
2023-08-05,CUST40174,36,Female,Home & Garden,Kitchen Appliances,Australia,Social Media,5,992.92,18.7,4037.13,0.29
2023-08-05,CUST33901,75,Other,Toys,Puzzles,North America,Online,2,311.51,19.4,502.27,0.37
2023-08-05,CUST55750,49,Other,Automotive,Tools,Africa,Social Media,5,195.52,0.8,970.05,0.36
2023-08-05,CUST32437,40,Other,Sports,Gym Equipment,Australia,Social Media,2,553.53,19.7,889.09,0.22
2023-08-05,CUST98948,34,Male,Home & Garden,Garden Tools,Asia,Marketplace,2,265.44,25.0,398.21,0.36
2023-08-05,CUST92245,24,Female,Toys,Action Figures,North America,Retail,1,954.42,15.7,804.21,0.29
2023-08-05,CUST88219,56,Female,Toys,Board Games,North America,Marketplace,3,936.09,23.5,2149.27,0.29
2023-08-06,CUST27487,73,Other,Sports,Tennis Racket,North America,Online,1,370.02,17.2,306.56,0.24
2023-08-06,CUST16790,25,Other,Books,Data Science Guide,North America,Social Media,5,175.93,18.4,717.53,0.11
2023-08-06,CUST39247,73,Male,Beauty,Nail Polish,Europe,Retail,3,716.85,2.9,2087.17,0.35
2023-08-06,CUST58093,67,Other,Books,AI Basics,Asia,Mobile App,5,678.17,2.6,3301.5,0.36
2023-08-06,CUST23607,73,Male,Clothing,H&M Shirt,North America,Marketplace,3,95.47,24.9,215.2,0.32
2023-08-06,CUST85281,43,Female,Clothing,Zara Dress,Asia,Retail,3,898.11,1.2,2660.92,0.14
2023-08-06,CUST98366,62,Female,Books,Machine Learning,North America,Social Media,2,611.82,28.1,880.23,0.11
2023-08-06,CUST76818,38,Female,Sports,Gym Equipment,Australia,Online,4,863.45,22.5,2678.3,0.38
2023-08-06,CUST95294,39,Male,Beauty,Makeup Kit,Asia,Marketplace,2,47.41,26.4,69.78,0.31
2023-08-06,CUST71840,45,Other,Clothing,Adidas Jacket,Asia,Mobile App,5,371.57,5.3,1759.36,0.16
2023-08-06,CUST16511,49,Male,Electronics,Apple Watch,Europe,Social Media,1,286.48,10.8,255.66,0.25
2023-08-06,CUST88901,24,Female,Home & Garden,Coffee Maker,Australia,Mobile App,3,667.16,5.7,1886.57,0.34
2023-08-06,CUST90755,67,Other,Books,Machine Learning,Europe,Social Media,2,67.16,18.8,109.02,0.35
2023-08-07,CUST31239,49,Female,Toys,Action Figures,Africa,Social Media,5,371.89,14.7,1586.4,0.27
2023-08-07,CUST82957,53,Other,Electronics,AirPods,Asia,Online,2,201.65,22.3,313.5,0.2
2023-08-07,CUST82905,19,Female,Clothing,H&M Shirt,Australia,Social Media,4,194.17,22.0,605.84,0.29
2023-08-07,CUST53842,52,Male,Toys,LEGO Set,South America,Social Media,5,295.37,26.6,1083.99,0.2
2023-08-07,CUST70982,57,Male,Home & Garden,Kitchen Appliances,Australia,Mobile App,3,368.28,16.8,919.65,0.29
2023-08-08,CUST77601,21,Other,Electronics,AirPods,South America,Online,4,945.64,2.2,3700.44,0.32
2023-08-08,CUST80969,19,Male,Electronics,iPhone 15,North America,Social Media,3,678.18,19.6,1636.12,0.34
2023-08-08,CUST19814,29,Female,Books,Data Science Guide,Asia,Online,1,654.07,19.4,526.97,0.23
2023-08-08,CUST99268,24,Male,Books,Web Development,North America,Marketplace,2,250.35,5.6,472.6,0.26
2023-08-08,CUST33824,42,Female,Home & Garden,Furniture,Africa,Marketplace,2,679.24,27.9,979.22,0.36
2023-08-08,CUST63556,72,Female,Home & Garden,Kitchen Appliances,Europe,Retail,2,788.19,6.9,1467.81,0.22
2023-08-09,CUST36732,60,Other,Toys,LEGO Set,Asia,Social Media,5,606.14,25.4,2261.85,0.24
2023-08-09,CUST76068,41,Male,Electronics,AirPods,Europe,Online,4,700.18,28.2,2010.53,0.39
2023-08-09,CUST96904,56,Male,Automotive,Car Parts,North America,Mobile App,1,273.59,3.0,265.47,0.39
2023-08-09,CUST96515,42,Other,Books,AI Basics,Africa,Marketplace,3,507.43,23.5,1164.38,0.19
2023-08-09,CUST43948,54,Male,Automotive,Maintenance Kits,Australia,Mobile App,5,179.78,4.4,859.0,0.28
2023-08-09,CUST81320,27,Female,Sports,Tennis Racket,South America,Marketplace,4,200.21,29.7,563.36,0.33
2023-08-09,CUST93767,42,Other,Sports,Running Shoes,North America,Marketplace,5,157.83,12.0,694.1,0.2
2023-08-09,CUST33192,63,Female,Electronics,MacBook Pro,Europe,Social Media,5,338.91,22.4,1315.04,0.16
2023-08-09,CUST81855,51,Male,Toys,Board Games,Africa,Mobile App,5,687.42,20.9,2719.58,0.3
2023-08-09,CUST72004,29,Other,Books,AI Basics,Asia,Online,4,390.65,27.7,1130.44,0.25
2023-08-09,CUST67785,21,Male,Toys,Board Games,Australia,Social Media,5,343.34,29.8,1204.41,0.23
2023-08-10,CUST36276,70,Other,Automotive,Tools,South America,Online,5,20.93,19.8,83.9,0.26
2023-08-10,CUST93437,29,Female,Home & Garden,Furniture,North America,Mobile App,3,722.63,14.3,1857.77,0.28
2023-08-10,CUST65064,24,Male,Toys,LEGO Set,North America,Online,1,133.35,5.5,126.0,0.11
2023-08-10,CUST73854,73,Male,Sports,Gym Equipment,North America,Marketplace,2,761.39,22.2,1184.19,0.36
2023-08-10,CUST39330,75,Male,Automotive,Maintenance Kits,Asia,Mobile App,1,351.82,28.8,250.62,0.12
2023-08-10,CUST98000,22,Female,Toys,LEGO Set,Africa,Mobile App,2,614.06,6.3,1150.58,0.33
2023-08-11,CUST25309,36,Other,Toys,Board Games,Africa,Social Media,4,909.48,21.3,2864.55,0.11
2023-08-11,CUST55847,41,Male,Automotive,Tools,Africa,Online,4,725.08,23.4,2223.05,0.19
2023-08-11,CUST11699,74,Other,Electronics,MacBook Pro,South America,Online,1,434.06,19.6,348.83,0.11
2023-08-11,CUST88164,68,Female,Automotive,Tools,Europe,Retail,2,864.77,3.7,1665.95,0.23
2023-08-11,CUST95613,64,Other,Home & Garden,Lighting,Australia,Marketplace,5,371.38,6.6,1734.51,0.16
2023-08-11,CUST60060,41,Female,Books,Web Development,Asia,Retail,4,282.27,27.1,823.1,0.34
2023-08-11,CUST20919,69,Female,Clothing,Zara Dress,North America,Retail,3,387.15,3.3,1123.18,0.24
2023-08-11,CUST83884,23,Other,Books,AI Basics,North America,Mobile App,5,951.71,4.3,4554.29,0.4
2023-08-11,CUST13985,54,Male,Automotive,Accessories,Australia,Social Media,2,357.76,19.3,577.12,0.31
2023-08-11,CUST54316,25,Female,Electronics,AirPods,South America,Online,4,310.51,12.0,1092.77,0.39
2023-08-11,CUST33223,34,Other,Sports,Yoga Mat,South America,Retail,4,113.48,23.7,346.18,0.29
2023-08-11,CUST29418,66,Other,Toys,Board Games,Africa,Online,4,881.51,20.9,2789.44,0.23
2023-08-11,CUST47062,20,Female,Books,Machine Learning,Europe,Social Media,4,628.32,29.6,1768.3,0.15
2023-08-11,CUST56931,35,Female,Home & Garden,Garden Tools,South America,Marketplace,3,771.54,11.1,2058.63,0.14
2023-08-12,CUST36284,42,Other,Books,Python Programming,Europe,Social Media,5,117.66,18.4,479.97,0.34
2023-08-12,CUST19640,34,Female,Automotive,Accessories,Asia,Marketplace,3,682.01,10.8,1825.39,0.36
2023-08-12,CUST60597,25,Female,Home & Garden,Garden Tools,Africa,Marketplace,1,787.6,17.0,653.69,0.21
2023-08-12,CUST45076,45,Male,Books,AI Basics,Asia,Retail,5,870.96,10.0,3917.39,0.21
2023-08-12,CUST89162,61,Male,Books,Web Development,Europe,Social Media,2,162.86,11.8,287.31,0.12
2023-08-12,CUST97495,31,Male,Books,Machine Learning,Europe,Marketplace,1,34.72,0.7,34.48,0.26
2023-08-12,CUST13340,49,Other,Automotive,Tools,Africa,Social Media,3,105.3,15.9,265.6,0.15
2023-08-12,CUST93921,63,Female,Clothing,Uniqlo Sweater,Europe,Retail,5,739.47,21.8,2891.69,0.36
2023-08-12,CUST94838,64,Male,Clothing,Nike Shoes,Asia,Marketplace,1,172.92,20.0,138.28,0.29
2023-08-12,CUST99375,71,Other,Automotive,Car Parts,South America,Marketplace,3,361.46,23.2,833.01,0.26
2023-08-13,CUST67664,23,Other,Toys,Educational Toys,Europe,Marketplace,2,615.0,5.0,1167.98,0.25
2023-08-13,CUST37950,40,Female,Beauty,Perfume,North America,Marketplace,4,917.11,9.0,3336.8,0.34
2023-08-13,CUST10263,25,Other,Beauty,Hair Products,North America,Mobile App,2,222.88,18.4,363.94,0.39
2023-08-13,CUST82026,48,Male,Toys,Puzzles,South America,Mobile App,3,957.53,25.3,2146.05,0.19
2023-08-13,CUST88572,34,Male,Home & Garden,Coffee Maker,South America,Mobile App,5,688.84,26.2,2541.92,0.2
2023-08-13,CUST83713,19,Male,Toys,Puzzles,South America,Online,1,703.38,21.5,552.04,0.35
2023-08-13,CUST81367,47,Other,Toys,LEGO Set,South America,Online,2,334.66,15.1,568.49,0.27
2023-08-13,CUST25117,54,Male,Sports,Running Shoes,Asia,Online,3,732.87,1.5,2166.46,0.38
2023-08-13,CUST88115,44,Other,Toys,Action Figures,Asia,Mobile App,4,877.29,13.0,3052.56,0.23
2023-08-13,CUST34159,68,Female,Clothing,H&M Shirt,Europe,Retail,4,807.31,1.6,3176.98,0.36
2023-08-13,CUST20441,62,Female,Clothing,Levi's Jeans,Australia,Social Media,3,134.09,12.7,351.18,0.1
2023-08-13,CUST10224,24,Female,Beauty,Nail Polish,North America,Online,1,492.96,12.5,431.09,0.14
2023-08-13,CUST38419,28,Female,Beauty,Perfume,Europe,Online,2,165.16,4.9,314.15,0.21
2023-08-13,CUST53761,53,Female,Sports,Basketball,Asia,Retail,5,166.03,12.0,730.34,0.22
2023-08-14,CUST42583,60,Other,Books,Machine Learning,Asia,Mobile App,4,333.6,11.1,1186.92,0.39
2023-08-14,CUST85285,58,Male,Sports,Running Shoes,Africa,Social Media,2,75.41,7.7,139.27,0.2
2023-08-14,CUST94269,60,Female,Toys,Action Figures,North America,Social Media,4,87.23,14.1,299.67,0.31
2023-08-14,CUST60235,51,Male,Electronics,AirPods,Australia,Mobile App,3,367.09,3.4,1064.17,0.15
2023-08-14,CUST45827,42,Other,Home & Garden,Kitchen Appliances,North America,Marketplace,3,288.55,24.8,650.91,0.25
2023-08-14,CUST44327,25,Female,Sports,Yoga Mat,Africa,Social Media,4,564.42,10.2,2027.99,0.18
2023-08-14,CUST98196,53,Male,Books,Machine Learning,South America,Marketplace,4,744.72,2.6,2901.64,0.36
2023-08-14,CUST51457,59,Other,Home & Garden,Garden Tools,North America,Marketplace,4,413.7,26.9,1210.15,0.21
2023-08-14,CUST94422,38,Male,Clothing,Uniqlo Sweater,Australia,Mobile App,5,456.68,7.5,2111.03,0.23
2023-08-14,CUST18747,43,Male,Automotive,Car Parts,Europe,Retail,4,431.88,23.2,1327.33,0.21
2023-08-14,CUST18188,59,Female,Automotive,Maintenance Kits,Europe,Online,2,622.96,5.7,1174.63,0.17
2023-08-14,CUST10103,24,Female,Automotive,Car Parts,South America,Social Media,4,849.0,7.1,3155.93,0.23
2023-08-15,CUST71740,37,Other,Clothing,Zara Dress,Asia,Mobile App,1,107.05,2.9,103.95,0.39
2023-08-15,CUST34399,34,Other,Electronics,iPad,South America,Marketplace,5,217.83,2.8,1058.28,0.13
2023-08-15,CUST19688,69,Other,Sports,Tennis Racket,Africa,Marketplace,5,678.56,1.2,3350.99,0.11
2023-08-15,CUST67312,37,Male,Sports,Running Shoes,Africa,Social Media,4,594.61,1.1,2351.57,0.14
2023-08-15,CUST41518,61,Male,Clothing,Uniqlo Sweater,Asia,Marketplace,4,202.94,25.6,603.83,0.11
2023-08-15,CUST94178,34,Male,Books,Python Programming,Europe,Marketplace,3,951.21,7.4,2642.06,0.14
2023-08-15,CUST70147,22,Other,Beauty,Skincare Set,South America,Marketplace,1,294.86,22.5,228.59,0.35
2023-08-15,CUST41673,56,Female,Home & Garden,Lighting,Australia,Marketplace,2,733.12,20.7,1162.88,0.21
2023-08-15,CUST20995,24,Female,Toys,Educational Toys,North America,Retail,2,239.48,25.6,356.12,0.21
2023-08-15,CUST68385,67,Other,Electronics,iPhone 15,Asia,Mobile App,3,42.25,11.3,112.39,0.39
2023-08-16,CUST53109,46,Male,Automotive,Tools,Africa,Marketplace,3,34.81,2.7,101.59,0.17
2023-08-16,CUST66813,56,Other,Home & Garden,Lighting,South America,Online,5,623.62,18.1,2554.31,0.19
2023-08-16,CUST88405,59,Female,Automotive,Car Parts,Europe,Marketplace,5,317.87,4.9,1511.45,0.32
2023-08-16,CUST11437,44,Male,Sports,Tennis Racket,Australia,Retail,3,440.17,25.5,983.54,0.37
2023-08-16,CUST37511,40,Female,Books,Python Programming,Europe,Online,5,479.09,7.5,2215.38,0.21
2023-08-16,CUST36862,28,Other,Electronics,Sony Headphones,Europe,Social Media,4,607.55,29.7,1707.34,0.16
2023-08-16,CUST77742,33,Male,Home & Garden,Kitchen Appliances,North America,Online,3,273.8,4.1,787.43,0.12
2023-08-17,CUST13781,60,Male,Books,AI Basics,Asia,Marketplace,1,413.03,4.6,393.95,0.2
2023-08-17,CUST59157,23,Other,Beauty,Makeup Kit,Australia,Retail,1,834.57,27.5,605.21,0.21
2023-08-17,CUST36309,67,Female,Books,AI Basics,North America,Marketplace,3,799.98,16.3,2008.74,0.13
2023-08-17,CUST35031,48,Female,Clothing,H&M Shirt,Europe,Retail,3,401.89,9.4,1092.75,0.32
2023-08-17,CUST38584,59,Male,Sports,Yoga Mat,Europe,Online,4,772.15,1.6,3039.71,0.22
